frame,channel_id,x,y,area,length,mean_intensity,is_dividing
89,9,854,675,587.5,69,97.85627836611195,True
89,12,1085,681,270.5,45,68.159375,True
89,7,703,686,134.0,21,60.800000000000004,True
89,15,1309,668,555.0,64,101.17174959871589,True
89,0,171,678,219.5,38,57.5648854961832,True
89,11,1006,667,406.0,45,108.30701754385964,True
90,4,472,671,263.0,34,80.93708609271523,True
90,14,1234,675,740.0,96,78.96309523809525,True
90,7,703,685,289.5,42,70.05952380952381,True
90,0,169,677,257.0,40,64.56146179401993,True
90,5,554,681,178.5,30,65.3943661971831,True
90,11,1005,667,412.5,44,109.03253796095446,True
91,6,626,671,409.0,50,98.92887931034483,True
91,4,473,671,253.0,33,97.80756013745705,True
91,14,1234,676,709.5,96,90.1,True
91,16,1385,670,335.5,46,91.3238341968912,True
91,0,169,678,262.0,39,72.77450980392157,True
91,5,553,681,173.0,31,70.52403846153847,True
91,11,1005,668,386.5,43,119.46206896551723,True
92,2,321,671,536.0,59,127.85000000000001,True
92,19,1612,673,237.5,31,91.78754578754578,True
92,12,1082,678,139.0,21,76.26219512195122,True
92,5,552,679,224.5,34,79.65399239543726,True
92,11,1005,668,398.0,44,125.26174496644295,True
93,17,1461,679,839.5,99,113.52916224814423,True
93,16,1387,668,346.0,48,85.54020100502512,True
93,12,1082,678,138.0,22,75.39634146341464,True
93,5,553,680,187.0,33,66.48,True
93,21,1763,697,208.0,27,88.28333333333333,True
93,0,168,679,260.0,42,70.1042345276873,True
94,16,1387,668,356.0,50,86.60975609756098,True
94,19,1612,672,227.5,31,90.31558935361217,True
94,8,777,669,424.5,53,104.61410788381743,True
94,7,703,680,119.0,23,66.76027397260273,True
94,12,1082,679,132.5,22,72.60377358490567,True
94,4,472,672,272.5,33,94.2475884244373,True
94,5,552,678,215.0,35,74.2007874015748,True
94,11,1005,669,422.5,46,128.47991543340382,True
95,13,1156,680,269.0,34,90.92207792207793,True
95,8,777,669,430.0,54,90.82004089979552,True
95,21,1764,722,209.0,29,79.38271604938272,True
95,7,702,671,158.0,25,68.47058823529412,True
95,0,171,679,110.0,21,65.52592592592593,True
95,5,553,680,181.0,34,65.5,True
95,3,396,683,283.0,41,72.8419452887538,True
96,19,1611,675,240.5,32,86.76173285198556,True
96,7,701,672,154.5,25,72.32065217391305,True
96,4,471,672,282.5,33,103.97507788161994,True
96,15,1308,669,605.0,66,126.04444444444444,True
96,5,552,682,197.0,35,71.72151898734177,True
96,13,1155,677,293.5,36,106.19161676646708,True
96,3,395,681,260.5,41,78.31372549019608,True
97,8,776,670,463.0,55,100.45889101338432,True
97,19,1611,682,243.0,33,83.85,True
97,7,702,672,141.0,26,66.7953216374269,True
97,12,1078,684,163.0,24,76.53926701570681,True
97,0,170,678,124.0,25,64.29411764705883,True
97,4,472,672,283.0,34,99.47040498442367,True
97,2,319,673,560.0,64,106.60191082802548,True
98,16,1385,667,206.0,29,79.5020920502092,True
